Image,Camera Matrix,Distortion Coefficients
pic.0746.jpg,"[39.586428198606015, 0.0, 399.5, 0.0, 31.66914255888481, 319.5, 0.0, 0.0, 1.0]","[0.007548996184810168, -1.2962663435491191e-05, 0.03038774719785141, -0.023159890284622026, -1.3272676713435697e-07]"
pic.0747.jpg,"[21.73566949612718, 0.0, 399.5, 0.0, 17.388535596901743, 319.5, 0.0, 0.0, 1.0]","[-0.006624219160606506, 1.0755863409245578e-05, -0.005285778936002409, 0.0010436795124656286, -4.5377052774653256e-09]"
pic.0748.jpg,"[38.24989860357548, 0.0, 399.5, 0.0, 30.599918882860386, 319.5, 0.0, 0.0, 1.0]","[-4.5647118512709034e-10, -6.351562701987179e-07, -4.601911494075996e-11, 2.9333153092125795e-11, 1.7311513157488518e-10]"
pic.0749.jpg,"[22.24647106075727, 0.0, 399.5, 0.0, 17.797176848605815, 319.5, 0.0, 0.0, 1.0]","[-0.0019843159972711697, 1.0247656609584638e-06, 0.00019871795157899543, -0.00013434903269114243, -1.2916241229421635e-10]"
pic.0750.jpg,"[59.87953156446676, 0.0, 399.5, 0.0, 47.90362525157341, 319.5, 0.0, 0.0, 1.0]","[-0.03656785659161611, 0.0003042558812510756, -0.010022206296444024, -0.028753459421229265, -6.812684567905513e-07]"
pic.0751.jpg,"[41.597008100502364, 0.0, 399.5, 0.0, 33.27760648040189, 319.5, 0.0, 0.0, 1.0]","[0.013111239600708032, -2.076239448216518e-05, 0.05789400980811515, -0.021699816534533727, 1.5187141254037308e-08]"
pic.0752.jpg,"[4.427424208055745, 0.0, 399.5, 0.0, 3.541939366444596, 319.5, 0.0, 0.0, 1.0]","[-9.023054058686476e-12, -4.079615440112256e-08, 1.99217942718221e-13, 6.515724580795021e-14, 1.9950529540712854e-12]"
pic.0753.jpg,"[204.95375026686688, 0.0, 399.5, 0.0, 163.9630002134935, 319.5, 0.0, 0.0, 1.0]","[-4.573068734155465e-11, -1.2534123540896174e-07, 3.314714866538232e-12, 2.3602285046876313e-13, 1.6588550661131476e-11]"
pic.0754.jpg,"[187.2868341199773, 0.0, 399.5, 0.0, 149.82946729598183, 319.5, 0.0, 0.0, 1.0]","[-2.9352930928495508e-06, -1.3346367970760262e-06, -4.905290488188033e-06, 7.541791758311539e-07, 4.4608467118308665e-10]"
pic.0755.jpg,"[54.73410568896255, 0.0, 399.5, 0.0, 43.78728455117004, 319.5, 0.0, 0.0, 1.0]","[-0.0039017573485967453, 3.576860525041761e-06, -0.002922100426661329, -0.004679264085933066, -1.0340917517262937e-09]"
